client_id,gender,age,region,income_monthly,profession,client_type,marital_status,has_children,years_with_bank,education_level,preferred_channel
C000073,F,65,Vladivostok,39400.61660530627,Teacher,Retail,Married,1,1,Bachelor,Mobile App
C000074,F,28,Saint Petersburg,87674.84136318238,IT Specialist,Retail,Single,1,7,Secondary,Branch
C000075,M,30,Moscow,88023.6293821554,Pensioner,Retail,Widowed,0,11,Master,Mobile App
C000076,F,68,Saint Petersburg,109833.60501675912,Salesperson,Retail,Single,1,14,Secondary,Mobile App
C000077,F,74,Novosibirsk,25278.643973374332,Driver,Business,Married,0,5,Bachelor,Branch
C000078,M,52,Novosibirsk,58937.42135310192,Doctor,Retail,Single,0,12,Master,Branch
C000079,M,45,Vladivostok,88500.58711956462,Engineer,Retail,Divorced,1,8,Bachelor,Mobile App
C000080,F,74,Yekaterinburg,91404.43439556983,Salesperson,Retail,Widowed,0,11,Secondary,Branch
C000081,M,25,,168539.40748320363,Student,Retail,Widowed,1,7,Secondary,Website
C000082,F,37,Vladivostok,20000.0,Accountant,Retail,Married,0,1,Bachelor,Website
C000083,F,53,Krasnodar,44499.703093820855,Doctor,Retail,Married,0,7,Bachelor,Mobile App
C000084,M,67,Saint Petersburg,76068.67584441017,Engineer,Retail,Single,0,1,Master,Mobile App
C000085,F,70,Vladivostok,117017.25319571159,Salesperson,Retail,Divorced,0,5,Bachelor,Mobile App
C000086,F,66,Sochi,92170.37923728318,Salesperson,Retail,Single,0,10,Bachelor,Mobile App
C000087,M,36,Kazan,21890.25986706221,Teacher,Retail,Single,0,5,Bachelor,Mobile App
C000088,M,69,Saint Petersburg,70523.15579676004,Student,Retail,Divorced,1,13,Master,Website
C000089,M,67,Kazan,164802.2578490805,Teacher,Retail,Married,0,1,Master,Website
C000090,M,32,Yekaterinburg,122784.25532130321,IT Specialist,Premium,Divorced,0,3,Master,Branch
C000091,F,56,Rostov-on-Don,88050.5493007797,Doctor,Retail,Single,1,12,Master,Mobile App
C000092,F,31,Krasnodar,39820.56266446008,Engineer,Retail,Widowed,1,8,Secondary,Mobile App
C000093,M,26,Moscow,30165.100229082498,Doctor,Retail,Married,0,4,Secondary,Mobile App
C000094,F,64,Saint Petersburg,72014.4791629549,Accountant,Retail,Divorced,0,5,Master,Branch
C000095,F,50,Rostov-on-Don,27284.490030643545,Doctor,Retail,Married,0,10,PhD,Mobile App
C000096,F,72,Kazan,147177.87952462668,Salesperson,Retail,Widowed,0,4,Bachelor,Call Center
C000097,M,44,Novosibirsk,51622.8111714175,Pensioner,Retail,Widowed,1,7,Bachelor,Mobile App
C000098,M,29,Krasnodar,113892.6237826866,Salesperson,Retail,Widowed,0,9,Master,Mobile App
C000099,M,74,Kazan,63665.22512343296,Accountant,Premium,Married,1,4,Bachelor,Call Center
C000100,M,35,Moscow,25955.339535950043,Driver,Retail,Divorced,1,2,Bachelor,Mobile App
C000101,F,45,Kazan,129211.12387268845,Driver,Premium,Widowed,0,12,Bachelor,Website
C000102,F,56,Saint Petersburg,60496.693773214276,Driver,Retail,Single,1,3,Secondary,Call Center
C000103,M,39,Vladivostok,33955.98538941988,Accountant,Business,Widowed,0,11,Secondary,Mobile App
C000104,M,54,Sochi,110972.48159712926,Driver,Premium,Single,1,0,Secondary,Branch
C000105,M,19,Novosibirsk,71439.6390056424,Teacher,Retail,Divorced,0,10,Bachelor,Call Center
C000106,F,31,Sochi,28807.15890697587,Salesperson,Retail,Married,0,11,Secondary,Mobile App
C000107,F,35,Yekaterinburg,67920.76145357234,Manager,Retail,Single,0,1,Master,Website
C000108,F,58,Yekaterinburg,35189.110345383684,Driver,Retail,Divorced,0,5,Bachelor,Mobile App
C000109,F,46,Yekaterinburg,54500.98014039725,Engineer,Retail,Divorced,1,13,Bachelor,Website
C000110,M,72,Moscow,53133.8198609054,IT Specialist,Premium,Married,1,13,Secondary,Website
C000111,M,61,Novosibirsk,135357.7694140011,Manager,Retail,Married,0,0,Bachelor,Mobile App
C000112,M,22,Rostov-on-Don,68702.80994913736,Doctor,Retail,Widowed,1,4,PhD,Mobile App
C000113,M,72,Krasnodar,110179.16949110782,Pensioner,Retail,Divorced,1,3,PhD,Branch
C000114,F,71,Kazan,92615.22934026418,Accountant,Retail,Widowed,0,12,Secondary,Website
C000115,M,54,Yekaterinburg,21950.795384305675,Accountant,Retail,Widowed,1,12,Bachelor,Mobile App
C000116,F,63,Moscow,27240.871755365515,IT Specialist,Retail,Single,0,0,Bachelor,Mobile App
C000117,F,33,Rostov-on-Don,101770.59224168779,Pensioner,Retail,Married,0,8,Bachelor,Website
C000118,F,68,Kazan,108565.94666930204,Student,Retail,Single,1,12,Secondary,Mobile App
C000119,M,25,Novosibirsk,104051.70789237533,Manager,Premium,Widowed,1,10,Bachelor,Branch
C000120,F,31,Novosibirsk,81324.89994554118,Student,Retail,Widowed,0,0,Bachelor,Branch
C000121,F,74,Sochi,31452.4329519518,Salesperson,Retail,Single,1,8,Bachelor,Website
C000122,M,73,Sochi,103532.99535325516,IT Specialist,Business,Widowed,0,5,Master,Mobile App
C000123,M,36,Yekaterinburg,73816.50316479526,IT Specialist,Premium,Married,1,1,Master,Mobile App
C000124,F,37,Kazan,143436.73515961776,Salesperson,Retail,Divorced,0,14,Secondary,Call Center
C000125,F,62,Saint Petersburg,104192.65685423302,Student,Retail,Single,0,10,Secondary,Mobile App
C000126,F,53,,71544.49571273573,Doctor,Retail,Divorced,0,13,Master,Mobile App
C000127,M,50,Vladivostok,41580.764070641555,Doctor,Retail,Divorced,1,7,Bachelor,Website
C000128,F,46,Novosibirsk,77280.61136003365,Engineer,Retail,Married,0,11,Secondary,Mobile App
C000129,F,63,Moscow,21907.627458687348,Engineer,Retail,Widowed,0,6,Bachelor,Mobile App
C000130,M,39,Vladivostok,,Salesperson,Retail,Widowed,0,5,Bachelor,Mobile App
C000131,F,51,Saint Petersburg,114083.01848520516,Pensioner,Retail,Widowed,1,7,Secondary,Mobile App
C000132,M,44,Sochi,120367.46661945176,Doctor,Retail,Widowed,0,11,Bachelor,Mobile App
C000133,F,41,Novosibirsk,20000.0,Teacher,Retail,Divorced,0,8,Master,Mobile App
C000134,F,20,Krasnodar,99773.36577860251,Driver,Retail,Single,1,5,Bachelor,Branch
C000135,F,36,,29264.387761407626,Accountant,Retail,Widowed,0,9,Secondary,Mobile App
C000136,M,41,Rostov-on-Don,111101.5965619043,Engineer,Retail,Single,0,0,Secondary,Website
C000137,M,64,Vladivostok,20000.0,Teacher,Retail,Single,1,8,PhD,Branch
C000138,M,21,Yekaterinburg,83380.83853632915,Engineer,Retail,Single,1,12,Secondary,Mobile App
C000139,F,38,Saint Petersburg,56986.44113167047,Student,Retail,Widowed,0,9,Secondary,Mobile App
C000140,F,30,Kazan,146456.06318881587,Student,Retail,Widowed,1,3,Secondary,Website
C000141,M,62,Moscow,85930.41126609847,Manager,Retail,Single,0,7,Master,Branch
C000142,M,22,Novosibirsk,98875.42425487227,Doctor,Retail,Divorced,1,9,Master,Mobile App
C000143,F,44,Vladivostok,57546.74645101837,IT Specialist,Retail,Single,0,9,Bachelor,Mobile App
C000144,F,70,Novosibirsk,20662.727050527858,Accountant,Retail,Single,0,10,Secondary,Branch
C000145,F,40,Krasnodar,80756.59426095943,Engineer,Retail,Married,0,6,Secondary,Mobile App
C000146,F,62,Moscow,20000.0,Driver,Retail,Married,0,4,Master,Mobile App
C000147,F,38,Kazan,69660.8884590136,Pensioner,Retail,Divorced,1,9,Secondary,Mobile App
C000148,M,52,,67141.42645033158,Student,Retail,Divorced,0,1,Master,Mobile App
C000149,F,38,Krasnodar,114027.20082420281,Manager,Premium,Widowed,1,1,Bachelor,Branch
C000150,F,31,Krasnodar,78007.02894996395,Doctor,Retail,Single,1,10,Secondary,Website
C000151,M,67,Vladivostok,81999.36271405312,Doctor,Retail,Widowed,0,2,Secondary,Mobile App
C000152,F,54,Saint Petersburg,84691.3397384107,Manager,Premium,Widowed,1,1,Secondary,Website
C000153,M,34,Kazan,133918.62977972685,Teacher,Premium,Married,0,8,Secondary,Mobile App
C000154,M,59,Yekaterinburg,46044.84675346251,Salesperson,Retail,Widowed,0,0,Master,Mobile App
C000155,F,69,Krasnodar,89665.92762069493,Pensioner,Retail,Divorced,0,10,Bachelor,Website
C000156,M,41,Kazan,98417.35227970022,Engineer,Retail,Single,0,7,Bachelor,Mobile App
C000157,F,63,Yekaterinburg,30357.786442491582,Doctor,Retail,Married,0,10,Secondary,Website
C000158,F,64,Kazan,87372.40467468632,Teacher,Retail,Divorced,1,10,Secondary,Mobile App
C000159,F,53,Rostov-on-Don,79348.25265290187,Engineer,Premium,Single,1,8,Bachelor,Mobile App
C000160,M,31,Novosibirsk,79526.05543542551,Student,Retail,Widowed,0,4,Secondary,Branch
C000161,M,42,Moscow,67614.68318595481,Accountant,Retail,Single,1,11,PhD,Branch
C000162,F,26,Krasnodar,20000.0,Driver,Retail,Widowed,1,6,Bachelor,Mobile App
C000163,F,61,Moscow,79269.21695724541,Pensioner,Retail,Widowed,0,2,Secondary,Website
C000164,M,31,Sochi,95937.68179910589,IT Specialist,Retail,Widowed,1,10,Secondary,Mobile App
C000165,F,53,Krasnodar,85258.71420547338,IT Specialist,Retail,Married,0,0,Bachelor,Call Center
C000166,F,20,Kazan,73239.68905538012,Driver,Retail,Single,0,7,PhD,Mobile App
C000167,M,71,Novosibirsk,124743.57098433154,IT Specialist,Retail,Single,1,4,Secondary,Mobile App
C000168,F,53,Novosibirsk,172190.1464726272,Manager,Retail,Divorced,0,6,Secondary,Mobile App
C000169,F,39,Novosibirsk,104738.81462621098,Student,Retail,Widowed,0,10,Bachelor,Mobile App
C000170,F,48,Saint Petersburg,39788.79463069074,Doctor,Premium,Widowed,1,2,Bachelor,Website
C000171,F,22,Vladivostok,40502.57432329951,Student,Retail,Married,0,4,Bachelor,Website
C000172,M,21,Yekaterinburg,105431.53909467145,Salesperson,Retail,Married,0,10,Secondary,Mobile App
C000173,F,47,Yekaterinburg,128621.90469099488,Doctor,Retail,Single,0,14,Secondary,Call Center
C000174,F,20,Krasnodar,80575.00466810756,Manager,Retail,Married,1,8,Bachelor,Mobile App
C000175,F,42,Yekaterinburg,65661.50951779312,Doctor,Retail,Single,0,11,Secondary,Branch
C000176,M,23,,63374.27828849376,Manager,Retail,Married,1,14,Secondary,Mobile App
C000177,M,62,Kazan,85997.4391087228,Manager,Retail,Married,1,7,Secondary,Mobile App
C000178,M,52,,49988.765115740265,Accountant,Business,Widowed,1,1,Bachelor,Mobile App
C000179,M,71,Saint Petersburg,130970.49190542655,Accountant,Premium,Divorced,1,6,Master,Mobile App
C000180,M,48,Krasnodar,42453.23967001589,Driver,Business,Married,0,6,Secondary,Call Center
C000181,F,25,Novosibirsk,38582.06756318281,Teacher,Premium,Single,0,5,Master,Branch
C000182,M,34,,96566.14915607304,IT Specialist,Premium,Divorced,1,0,Secondary,Mobile App
C000183,M,52,Yekaterinburg,76610.30003776443,Student,Retail,Widowed,0,7,Master,Mobile App
C000184,F,33,Moscow,141168.78705999273,Student,Retail,Divorced,1,2,Secondary,Mobile App
C000185,F,34,Krasnodar,104721.06813789341,Manager,Retail,Married,0,10,Bachelor,Mobile App
C000186,F,53,Krasnodar,20000.0,Student,Retail,Widowed,0,6,Secondary,Mobile App
C000187,M,64,Saint Petersburg,111864.30334966336,Driver,Retail,Single,0,3,Bachelor,Mobile App
C000188,F,58,Yekaterinburg,159099.543820685,Engineer,Retail,Divorced,0,1,Master,Mobile App
C000189,F,53,Moscow,140749.0587670218,Pensioner,Retail,Married,0,8,Bachelor,Mobile App
C000190,F,96,,97420.86200659613,Pensioner,Retail,Single,1,7,Bachelor,Mobile App
C000191,M,59,Sochi,106998.60491280789,Pensioner,Retail,Single,0,13,PhD,Mobile App
C000192,F,33,Novosibirsk,21152.880252638963,Doctor,Retail,Married,0,13,Secondary,Mobile App
C000193,M,26,Yekaterinburg,109466.9495868437,Engineer,Retail,Single,0,9,Secondary,Website
C000194,F,22,Moscow,34813.260251042084,Student,Retail,Divorced,0,13,Secondary,Call Center
C000195,M,26,Rostov-on-Don,65654.91776068993,Doctor,Retail,Widowed,0,3,Bachelor,
C000196,F,90,Vladivostok,149491.57829495592,Manager,Retail,Single,0,1,Bachelor,Call Center
C000197,M,52,Moscow,63692.606087169625,Salesperson,Retail,Single,1,14,Bachelor,Branch
C000198,F,28,Rostov-on-Don,53980.57640969478,Doctor,Retail,Single,1,2,Master,Mobile App
C000199,F,72,Krasnodar,74332.81594418797,IT Specialist,Retail,Single,1,3,Secondary,Mobile App
C000200,M,26,Rostov-on-Don,119452.51521332818,Pensioner,Business,Widowed,0,8,PhD,Mobile App
C000201,F,41,Novosibirsk,65701.13519346154,Accountant,Premium,Divorced,1,7,Secondary,Mobile App
C000202,M,26,Kazan,88056.66816644109,Pensioner,Premium,Married,1,4,Bachelor,Branch
C000203,F,64,Vladivostok,42121.884640063465,IT Specialist,Retail,Married,1,14,Secondary,Website
C000204,F,30,Krasnodar,99889.2781431954,Pensioner,Premium,Divorced,1,11,Bachelor,Call Center
C000205,F,67,Kazan,79463.71794837952,Accountant,Retail,Widowed,0,5,Secondary,Mobile App
C000206,F,56,Vladivostok,70378.18610587806,IT Specialist,Retail,Single,1,1,Master,Branch
C000207,M,39,Kazan,,Doctor,Retail,Single,0,2,Bachelor,Mobile App
C000208,F,40,Rostov-on-Don,59595.34372966252,Engineer,Premium,Single,0,4,PhD,Mobile App
C000209,F,53,Saint Petersburg,138714.06436668296,Student,Retail,Divorced,1,2,Master,Mobile App
C000210,M,50,Saint Petersburg,156788.2920861409,Teacher,Retail,Married,1,8,Bachelor,Branch
C000211,F,58,Kazan,40305.19445394555,Doctor,Retail,Single,0,13,Master,Mobile App
C000212,F,25,Kazan,42947.45112779291,Doctor,Retail,Widowed,0,2,Secondary,Mobile App
C000213,M,50,Krasnodar,55763.648600117114,IT Specialist,Business,Widowed,1,11,Secondary,Branch
C000214,F,49,Moscow,135294.31134649718,Accountant,Business,Divorced,0,7,Bachelor,Mobile App
C000215,M,71,Kazan,27437.87893990663,Engineer,Retail,Divorced,0,10,Secondary,Mobile App
C000216,F,52,Vladivostok,129209.14568168446,Pensioner,Retail,Widowed,1,6,Master,Branch
C000217,M,50,Rostov-on-Don,42719.469485372574,Manager,Retail,Divorced,0,11,Bachelor,Mobile App
C000218,M,28,Yekaterinburg,75838.41454657135,Student,Premium,Divorced,0,11,Secondary,Mobile App
C000219,F,65,Yekaterinburg,118233.30285998517,Accountant,Retail,Single,1,12,Bachelor,Mobile App
C000220,M,53,Moscow,60079.53218222651,Doctor,Retail,Single,0,12,Bachelor,Website
C000221,M,35,Saint Petersburg,103484.1673389121,Student,Retail,Widowed,1,1,Bachelor,Branch
C000222,F,47,Krasnodar,118170.47925856036,Pensioner,Retail,Married,0,1,Bachelor,Website
C000223,M,59,Sochi,55502.46435650864,Engineer,Retail,Married,0,8,PhD,Call Center
C000224,F,31,Sochi,23663.632259571328,Salesperson,Retail,Divorced,0,4,Secondary,Mobile App
C000225,F,34,Moscow,84037.15539396115,Pensioner,Business,Single,0,1,Master,Mobile App
C000226,M,51,Kazan,31376.081916889416,Doctor,Retail,Divorced,0,12,Secondary,Mobile App
C000227,F,64,Yekaterinburg,25054.603882765798,Teacher,Retail,Widowed,0,12,Secondary,Website
C000228,F,37,Novosibirsk,113115.64770672125,Salesperson,Retail,Married,1,2,Master,Branch
C000229,M,57,Saint Petersburg,103724.36499769666,IT Specialist,Retail,Divorced,0,6,Bachelor,Call Center
C000230,M,71,Kazan,132499.13860312302,Pensioner,Retail,Divorced,1,5,Secondary,Branch
C000231,M,42,Rostov-on-Don,59498.82738310569,IT Specialist,Retail,Single,1,9,Bachelor,Mobile App
C000232,M,21,Krasnodar,67810.21212432426,Teacher,Retail,Widowed,0,11,Master,Website
C000233,M,25,Moscow,98205.86560301698,IT Specialist,Retail,Widowed,0,10,Bachelor,Website
C000234,F,30,Rostov-on-Don,24833.116135688942,Driver,Retail,Divorced,0,0,Master,Mobile App
C000235,F,63,Rostov-on-Don,67360.28778378502,Pensioner,Premium,Single,0,2,Bachelor,Branch
C000236,M,18,Novosibirsk,65822.93368310966,Teacher,Retail,Single,0,0,Master,Branch
C000237,M,65,Rostov-on-Don,138577.944389,Teacher,Retail,Widowed,0,2,Bachelor,Website
C000238,F,30,Kazan,69568.70926979673,Manager,Retail,Married,1,6,Secondary,Mobile App
C000239,F,70,Sochi,90019.87161802458,Salesperson,Retail,Single,0,6,Secondary,Call Center
C000240,F,67,Kazan,97117.91695239613,Driver,Business,Single,0,7,Secondary,Branch
C000241,M,72,Krasnodar,88855.12566375978,IT Specialist,Retail,Widowed,0,5,Bachelor,Branch
C000242,F,25,Vladivostok,85882.40096621132,Pensioner,Retail,Divorced,0,6,Bachelor,Branch
C000243,F,69,Rostov-on-Don,130249.58123042899,Teacher,Retail,Married,1,13,Bachelor,Website
C000244,M,29,Sochi,39117.97136762993,Pensioner,Premium,Widowed,0,11,Secondary,Call Center
C000245,M,60,Sochi,125469.00480399372,Manager,Retail,Widowed,0,11,Secondary,Mobile App
C000246,F,72,Kazan,149819.97207296602,Teacher,Retail,Single,0,5,Bachelor,Branch
C000247,F,72,Moscow,63828.45888241096,Teacher,Retail,Single,1,9,Bachelor,Website
C000248,M,41,Saint Petersburg,103058.26740626826,Accountant,Business,Single,1,0,Master,Branch
C000249,F,21,Sochi,125152.69545492384,Teacher,Retail,Married,0,1,Bachelor,Mobile App
C000250,F,64,Rostov-on-Don,20000.0,Driver,Retail,Single,0,3,Bachelor,Mobile App
C000251,M,40,Vladivostok,142824.43625103688,Teacher,Retail,Single,1,14,Secondary,Website
C000252,M,44,Rostov-on-Don,85600.31740308006,Student,Premium,Married,1,1,Bachelor,Branch
C000253,F,51,Vladivostok,62035.12606325653,Pensioner,Retail,Single,1,6,Bachelor,Website
C000254,M,61,Saint Petersburg,66152.4304769318,Doctor,Retail,Divorced,0,3,Secondary,Website
C000255,M,19,Novosibirsk,59873.11219902603,Teacher,Premium,Single,1,11,Secondary,Mobile App
C000256,F,62,Novosibirsk,95196.36671747103,Salesperson,Business,Divorced,1,14,Bachelor,Mobile App
C000257,F,26,Moscow,134959.53962636553,Pensioner,Retail,Married,0,1,Master,Call Center
C000258,F,22,Kazan,33739.329476231454,Student,Retail,Divorced,0,2,Secondary,Website
C000259,M,34,Moscow,141041.78351222567,Pensioner,Retail,Married,0,2,Bachelor,Website
C000260,M,28,Saint Petersburg,39868.39626784763,Teacher,Retail,Widowed,0,7,Bachelor,Website
C000261,F,66,Saint Petersburg,65700.39765623222,Doctor,Retail,Married,0,6,Bachelor,Call Center
C000262,M,65,Kazan,100987.85883888588,Student,Business,Married,1,4,Bachelor,Mobile App
C000263,F,53,Vladivostok,173539.0347604784,Teacher,Retail,Widowed,1,1,PhD,Mobile App
C000264,M,67,Krasnodar,114119.94747060275,Accountant,Retail,Divorced,1,10,Secondary,Mobile App
C000265,M,70,Rostov-on-Don,82468.043514136,IT Specialist,Retail,Single,1,3,Master,Branch
C000266,M,37,Vladivostok,83324.60408667599,Pensioner,Retail,Single,1,12,Master,Call Center
C000267,M,56,Rostov-on-Don,135326.36669399706,Accountant,Retail,Single,1,8,Secondary,Mobile App
C000268,M,60,Novosibirsk,20000.0,Manager,Retail,Single,0,4,Bachelor,Call Center
C000269,M,64,Sochi,134220.60179865372,Engineer,Retail,Single,0,12,Bachelor,Branch
C000270,F,31,Kazan,68091.53295846462,Accountant,Premium,Divorced,1,4,Bachelor,Call Center
C000271,M,60,Moscow,130318.88239839087,Accountant,Retail,Widowed,1,4,Secondary,Mobile App
C000272,M,72,Vladivostok,145248.87061333444,Engineer,Retail,Married,0,14,Bachelor,Mobile App
C000273,M,74,Rostov-on-Don,70252.64396440474,Driver,Retail,Widowed,1,9,Secondary,Website
C000274,M,31,Moscow,23378.315742371284,Salesperson,Retail,Single,0,7,Secondary,Mobile App
C000275,F,29,Kazan,70674.13912638318,Driver,Premium,Married,1,14,Bachelor,Mobile App
C000276,M,72,Sochi,62510.438483735314,Engineer,Premium,Widowed,1,0,Master,Mobile App
C000277,F,29,Sochi,145698.48001413821,Engineer,Retail,Single,1,6,Master,Mobile App
C000278,M,26,Krasnodar,121256.17055842388,IT Specialist,Retail,Single,0,7,Secondary,Website
C000279,F,21,Yekaterinburg,,IT Specialist,Retail,Widowed,0,5,Bachelor,Mobile App
C000280,M,103,Krasnodar,52128.52098185518,Driver,Premium,Single,0,4,Bachelor,Mobile App
