client_id,activity_date,activity_type,activity_result,activity_value,channel
C001679,2025-04-21,APP_LOGIN,NO_RESPONSE,246.46,Mobile App
C003243,2025-01-26,SMS,SUCCESS,794.12,Website
C004637,2025-04-30,CALL,SUCCESS,1037.41,Mobile App
C001060,2025-03-04,APP_LOGIN,FAIL,2881.84,Mobile App
C006669,2025-06-23,APP_LOGIN,SUCCESS,228.15,Mobile App
C009915,2025-01-31,CALL,SUCCESS,751.09,Call Center
C003158,2025-06-18,APP_LOGIN,NO_RESPONSE,120.82,Call Center
C005916,2025-05-20,CALL,SUCCESS,644.56,Website
C009790,2025-01-17,TXN,NO_RESPONSE,1558.32,Mobile App
C002694,2025-05-26,APP_LOGIN,SUCCESS,372.02,Mobile App
C003628,2025-04-23,CALL,SUCCESS,895.44,Website
C009556,2025-04-02,APP_LOGIN,SUCCESS,1115.38,Mobile App
C005451,2025-02-08,TXN,SUCCESS,190.91,Mobile App
C001664,2025-03-15,TXN,SUCCESS,40.41,Mobile App
C009722,2025-04-21,CALL,SUCCESS,193.56,Mobile App
C005593,2025-06-10,CALL,NO_RESPONSE,808.9,Mobile App
C007393,2025-05-16,APP_LOGIN,SUCCESS,878.17,Mobile App
C001307,2025-04-01,EMAIL,SUCCESS,1084.4,Website
C006777,2025-01-26,APP_LOGIN,NO_RESPONSE,763.42,Website
C005865,2025-03-17,APP_LOGIN,SUCCESS,610.84,Branch
C009475,2025-02-04,APP_LOGIN,SUCCESS,2065.77,Call Center
C007527,2025-02-26,EMAIL,SUCCESS,265.85,Website
C008902,2025-01-21,CALL,SUCCESS,698.63,Call Center
C005576,2025-06-14,APP_LOGIN,SUCCESS,840.72,Call Center
C005531,2025-05-04,APP_LOGIN,SUCCESS,127.56,Website
C004414,2025-05-13,SMS,NO_RESPONSE,2263.03,Mobile App
C003749,2025-01-17,EMAIL,SUCCESS,1069.8,Website
C000664,2025-05-06,TXN,NO_RESPONSE,44.56,Website
C001999,2025-04-08,SMS,SUCCESS,67.37,Branch
C007995,2025-04-07,CALL,SUCCESS,1772.62,Mobile App
C001496,2025-03-23,APP_LOGIN,SUCCESS,255.97,Mobile App
C003305,2025-01-25,APP_LOGIN,SUCCESS,1482.09,Call Center
C003764,2025-04-15,EMAIL,SUCCESS,866.42,Website
C005233,2025-03-02,CALL,SUCCESS,1984.11,Mobile App
C001854,2025-04-04,SMS,SUCCESS,934.6,Mobile App
C006586,2025-02-06,CALL,SUCCESS,1010.13,Mobile App
C001292,2025-04-19,EMAIL,NO_RESPONSE,1832.35,Mobile App
C003582,2025-05-21,TXN,SUCCESS,795.7,Mobile App
C007555,2025-05-01,CALL,FAIL,457.34,Mobile App
C007281,2025-02-09,EMAIL,SUCCESS,1672.94,Mobile App
C001637,2025-06-19,CALL,SUCCESS,467.3,Mobile App
C003697,2025-03-25,TXN,NO_RESPONSE,1447.83,Branch
C000699,2025-03-11,TXN,NO_RESPONSE,851.05,Mobile App
C004738,2025-06-02,CALL,SUCCESS,939.79,Website
C000855,2025-06-19,TXN,SUCCESS,492.3,Branch
C008165,2025-05-18,CALL,SUCCESS,1009.36,Website
C005856,2025-04-05,SMS,NO_RESPONSE,422.86,Call Center
C007393,2025-02-12,APP_LOGIN,SUCCESS,871.92,Mobile App
C006529,2025-05-08,SMS,SUCCESS,121.64,Website
C005250,2025-03-30,CALL,SUCCESS,3000.65,Mobile App
C005173,2025-06-05,APP_LOGIN,SUCCESS,59.12,Mobile App
C001708,2025-06-01,APP_LOGIN,FAIL,14.5,Mobile App
C005792,2025-04-09,TXN,SUCCESS,923.57,Website
C009926,2025-02-10,SMS,SUCCESS,935.83,Call Center
C005536,2025-03-02,SMS,FAIL,2604.59,Branch
C004932,2025-05-04,EMAIL,SUCCESS,32.76,Branch
C003511,2025-05-13,CALL,NO_RESPONSE,533.31,Website
C000203,2025-04-07,CALL,SUCCESS,531.17,Mobile App
C004219,2025-05-19,APP_LOGIN,SUCCESS,321.76,Mobile App
C008959,2025-01-08,EMAIL,SUCCESS,1804.95,Mobile App
C004390,2025-05-29,SMS,SUCCESS,1446.48,Mobile App
C002328,2025-01-05,TXN,SUCCESS,1868.91,Mobile App
C008005,2025-02-03,CALL,SUCCESS,794.46,Mobile App
C002932,2025-01-09,APP_LOGIN,SUCCESS,866.01,Branch
C007778,2025-02-07,APP_LOGIN,NO_RESPONSE,1097.52,Branch
C000198,2025-02-12,TXN,SUCCESS,1457.77,Mobile App
C007126,2025-04-06,TXN,SUCCESS,456.74,Call Center
C001931,2025-05-18,CALL,SUCCESS,1575.68,Branch
C006288,2025-01-12,CALL,SUCCESS,46.65,Website
C008801,2025-04-09,CALL,SUCCESS,586.63,Mobile App
C009340,2025-05-26,CALL,FAIL,65.63,Mobile App
C004283,2025-05-20,EMAIL,SUCCESS,0.95,Call Center
C002512,2025-01-31,CALL,SUCCESS,741.53,Branch
C009987,2025-01-11,APP_LOGIN,SUCCESS,10.24,Branch
C000660,2025-04-08,TXN,SUCCESS,2031.13,Call Center
C002812,2025-01-27,TXN,SUCCESS,2.87,Call Center
C007099,2025-01-21,EMAIL,SUCCESS,857.02,Website
C006547,2025-05-08,APP_LOGIN,SUCCESS,586.88,Branch
C009562,2025-01-13,TXN,SUCCESS,386.85,Website
C001987,2025-02-14,TXN,SUCCESS,914.41,Mobile App
C008339,2025-06-24,SMS,NO_RESPONSE,141.43,Mobile App
C002912,2025-01-25,EMAIL,SUCCESS,270.19,Branch
C001735,2025-03-18,APP_LOGIN,SUCCESS,1697.42,Website
C001844,2025-03-05,APP_LOGIN,NO_RESPONSE,1240.65,Mobile App
C008681,2025-04-09,EMAIL,NO_RESPONSE,150.36,Website
C002977,2025-06-05,EMAIL,SUCCESS,851.31,Mobile App
C001960,2025-05-28,APP_LOGIN,SUCCESS,1122.9,Website
C005760,2025-06-18,TXN,SUCCESS,2541.21,Mobile App
C006695,2025-01-04,CALL,SUCCESS,664.48,Branch
C002386,2025-03-25,TXN,FAIL,1129.39,Mobile App
C004737,2025-01-24,CALL,NO_RESPONSE,437.36,Branch
C001803,2025-05-25,EMAIL,SUCCESS,963.85,Mobile App
C008156,2025-05-13,CALL,SUCCESS,352.22,Branch
C008121,2025-02-26,CALL,SUCCESS,646.78,Website
C006617,2025-06-03,EMAIL,SUCCESS,959.66,Mobile App
C005535,2025-04-10,APP_LOGIN,SUCCESS,2188.69,Call Center
C004062,2025-05-25,TXN,SUCCESS,1504.95,Call Center
C000263,2025-01-08,CALL,FAIL,1991.44,Mobile App
C006288,2025-01-10,APP_LOGIN,SUCCESS,708.96,Mobile App
C008816,2025-06-27,SMS,SUCCESS,776.26,Mobile App
C009209,2025-05-04,TXN,SUCCESS,394.37,Mobile App
C002050,2025-01-14,CALL,SUCCESS,649.94,Call Center
C005424,2025-04-01,SMS,SUCCESS,1054.97,Mobile App
C004549,2025-01-27,CALL,SUCCESS,578.88,Mobile App
C003109,2025-01-05,TXN,SUCCESS,769.86,Mobile App
C007159,2025-03-20,APP_LOGIN,SUCCESS,1319.63,Mobile App
C007401,2025-06-05,APP_LOGIN,SUCCESS,722.79,Mobile App
C003171,2025-05-13,CALL,SUCCESS,606.09,Mobile App
C009875,2025-03-27,CALL,SUCCESS,4195.68,Branch
C002256,2025-05-20,APP_LOGIN,NO_RESPONSE,78.96,Call Center
C001155,2025-01-08,APP_LOGIN,SUCCESS,2052.21,Mobile App
C004500,2025-02-28,CALL,SUCCESS,225.58,Branch
C006296,2025-03-01,APP_LOGIN,FAIL,823.2,Mobile App
C006198,2025-03-21,TXN,SUCCESS,867.29,Mobile App
C009889,2025-02-24,CALL,FAIL,674.6,Mobile App
C001649,2025-04-04,TXN,SUCCESS,281.81,Call Center
C005540,2025-06-20,APP_LOGIN,SUCCESS,2525.44,Website
C009638,2025-02-10,CALL,NO_RESPONSE,4.29,Website
C004200,2025-01-10,TXN,SUCCESS,3680.29,Call Center
C008446,2025-04-26,APP_LOGIN,FAIL,215.7,Mobile App
C002558,2025-03-25,APP_LOGIN,SUCCESS,1249.75,Website
C005593,2025-04-17,APP_LOGIN,NO_RESPONSE,404.95,Call Center
C000099,2025-01-07,CALL,NO_RESPONSE,471.1,Branch
C002201,2025-01-21,APP_LOGIN,NO_RESPONSE,407.66,Call Center
C002962,2025-03-16,APP_LOGIN,FAIL,464.67,Mobile App
C004974,2025-04-11,EMAIL,SUCCESS,986.63,Mobile App
C004434,2025-02-13,APP_LOGIN,SUCCESS,1533.53,Call Center
C002870,2025-03-29,APP_LOGIN,SUCCESS,143.28,Mobile App
C000957,2025-02-06,EMAIL,SUCCESS,1806.76,Website
C008353,2025-06-21,CALL,SUCCESS,4270.01,Mobile App
C005700,2025-03-06,SMS,SUCCESS,1209.55,Mobile App
C006945,2025-04-24,SMS,SUCCESS,522.98,Website
C004494,2025-01-06,TXN,FAIL,495.71,Mobile App
C009493,2025-02-07,SMS,SUCCESS,2447.86,Website
C004912,2025-06-20,APP_LOGIN,NO_RESPONSE,1843.48,Mobile App
C003988,2025-02-26,SMS,NO_RESPONSE,4813.77,Website
C009720,2025-03-11,CALL,NO_RESPONSE,1350.46,Mobile App
C006016,2025-03-06,APP_LOGIN,SUCCESS,400.55,Mobile App
C001219,2025-04-22,TXN,FAIL,1917.8,Mobile App
C004497,2025-02-04,APP_LOGIN,SUCCESS,412.3,Website
C004736,2025-01-24,APP_LOGIN,SUCCESS,108.11,Website
C004556,2025-02-07,APP_LOGIN,SUCCESS,1699.07,Branch
C009147,2025-01-03,SMS,FAIL,946.43,Website
C008051,2025-06-28,EMAIL,SUCCESS,1043.22,Mobile App
C003447,2025-06-17,TXN,FAIL,383.17,Mobile App
C001046,2025-02-23,TXN,SUCCESS,16.7,Mobile App
C006894,2025-03-07,TXN,SUCCESS,834.06,Mobile App
C001694,2025-04-25,TXN,SUCCESS,1439.99,Mobile App
C003437,2025-03-01,CALL,FAIL,2198.32,Mobile App
C008755,2025-01-15,SMS,SUCCESS,2733.78,Call Center
C005896,2025-06-23,CALL,SUCCESS,1610.63,Mobile App
C003355,2025-04-20,CALL,FAIL,571.88,Mobile App
C000226,2025-01-04,APP_LOGIN,SUCCESS,376.93,Mobile App
C004894,2025-01-24,SMS,SUCCESS,379.34,Branch
C007023,2025-03-24,CALL,NO_RESPONSE,754.62,Mobile App
C009152,2025-04-04,SMS,SUCCESS,367.51,Call Center
C005601,2025-04-13,TXN,SUCCESS,774.39,Mobile App
C007997,2025-02-09,EMAIL,NO_RESPONSE,1365.3,Mobile App
C009008,2025-01-27,SMS,NO_RESPONSE,70.09,Mobile App
C007684,2025-06-29,APP_LOGIN,FAIL,673.76,Mobile App
C004643,2025-02-06,CALL,SUCCESS,1072.12,Mobile App
C007680,2025-01-01,TXN,SUCCESS,2374.57,Mobile App
C008209,2025-05-17,APP_LOGIN,SUCCESS,1552.25,Branch
C007340,2025-05-26,EMAIL,SUCCESS,975.93,Mobile App
C009436,2025-05-03,SMS,SUCCESS,1386.11,Mobile App
C002206,2025-02-08,SMS,SUCCESS,478.46,Branch
C001070,2025-01-30,CALL,SUCCESS,94.06,Mobile App
C003445,2025-01-20,EMAIL,SUCCESS,1066.86,Call Center
C001061,2025-05-23,APP_LOGIN,NO_RESPONSE,844.77,Website
C002328,2025-03-05,CALL,SUCCESS,1812.46,Mobile App
C003421,2025-04-29,CALL,SUCCESS,199.0,Mobile App
C000302,2025-06-02,APP_LOGIN,NO_RESPONSE,3389.91,Mobile App
C000607,2025-06-26,SMS,NO_RESPONSE,2021.26,Website
C003171,2025-03-08,CALL,NO_RESPONSE,1702.13,Mobile App
C000700,2025-05-02,APP_LOGIN,NO_RESPONSE,590.29,Mobile App
C005089,2025-01-26,CALL,SUCCESS,399.46,Mobile App
C009332,2025-06-22,EMAIL,NO_RESPONSE,1888.6,Website
C000191,2025-05-06,CALL,SUCCESS,498.93,Mobile App
C000981,2025-01-06,APP_LOGIN,SUCCESS,753.63,Call Center
C002976,2025-02-01,APP_LOGIN,SUCCESS,384.6,Branch
C006103,2025-01-17,CALL,FAIL,963.47,Branch
C001185,2025-06-23,APP_LOGIN,SUCCESS,1026.37,Mobile App
C003328,2025-02-22,APP_LOGIN,SUCCESS,20.99,Website
C003395,2025-04-10,CALL,SUCCESS,153.63,Website
C008320,2025-05-12,APP_LOGIN,SUCCESS,1050.48,Mobile App
C001817,2025-04-20,EMAIL,FAIL,1848.19,Call Center
C005855,2025-06-05,CALL,SUCCESS,1931.32,Website
C006710,2025-03-12,TXN,SUCCESS,323.83,Mobile App
C000570,2025-05-24,APP_LOGIN,SUCCESS,1672.23,Mobile App
C005443,2025-04-11,APP_LOGIN,SUCCESS,342.63,Mobile App
C001896,2025-06-16,TXN,SUCCESS,913.54,Call Center
C002734,2025-04-01,EMAIL,FAIL,320.95,Mobile App
C003864,2025-06-07,CALL,SUCCESS,1430.1,Mobile App
C007456,2025-02-26,TXN,SUCCESS,3039.9,Mobile App
C004015,2025-02-25,EMAIL,SUCCESS,3229.89,Call Center
C001687,2025-06-16,APP_LOGIN,NO_RESPONSE,110.63,Branch
C003010,2025-05-07,TXN,FAIL,2563.05,Mobile App
C007807,2025-06-19,EMAIL,SUCCESS,1127.51,Mobile App
C000155,2025-01-18,TXN,SUCCESS,341.52,Mobile App
C001410,2025-03-16,APP_LOGIN,SUCCESS,852.33,Mobile App
C000785,2025-01-22,TXN,SUCCESS,214.16,Website
C008097,2025-05-12,CALL,SUCCESS,3078.5,Mobile App
C007561,2025-01-03,APP_LOGIN,SUCCESS,1268.08,Mobile App
C007344,2025-01-24,TXN,SUCCESS,2555.29,Mobile App
C007207,2025-02-21,CALL,SUCCESS,64.61,Mobile App
C005597,2025-03-08,EMAIL,SUCCESS,1898.72,Mobile App
C005802,2025-05-03,EMAIL,SUCCESS,702.84,Mobile App
C002807,2025-01-31,TXN,NO_RESPONSE,176.23,Mobile App
C000538,2025-02-22,EMAIL,NO_RESPONSE,46.62,Call Center
C005987,2025-05-01,CALL,NO_RESPONSE,693.69,Website
C001842,2025-06-12,APP_LOGIN,SUCCESS,7401.33,Mobile App
C008717,2025-01-31,APP_LOGIN,FAIL,1065.09,Mobile App
C006972,2025-03-17,APP_LOGIN,NO_RESPONSE,178.13,Mobile App
C005626,2025-05-18,APP_LOGIN,SUCCESS,26.29,Mobile App
C002951,2025-03-25,APP_LOGIN,NO_RESPONSE,614.8,Mobile App
C007993,2025-05-26,SMS,SUCCESS,1308.72,Mobile App
C004781,2025-04-18,TXN,SUCCESS,400.9,Mobile App
C002369,2025-02-25,CALL,SUCCESS,73.66,Mobile App
C006656,2025-02-05,TXN,SUCCESS,473.25,Mobile App
C008174,2025-02-20,EMAIL,FAIL,627.57,Mobile App
C004496,2025-05-27,CALL,SUCCESS,826.37,Mobile App
C009164,2025-03-22,APP_LOGIN,SUCCESS,561.17,Mobile App
C006003,2025-04-14,TXN,SUCCESS,115.64,Branch
C006615,2025-05-05,SMS,SUCCESS,116.39,Mobile App
C009359,2025-05-19,CALL,FAIL,580.27,Mobile App
C005920,2025-01-05,APP_LOGIN,SUCCESS,71.07,Branch
C000854,2025-04-11,TXN,SUCCESS,420.77,Mobile App
C004147,2025-06-22,SMS,SUCCESS,251.34,Mobile App
C003770,2025-04-10,CALL,SUCCESS,106.93,Branch
C000575,2025-06-22,APP_LOGIN,NO_RESPONSE,373.69,Mobile App
C001149,2025-06-25,SMS,NO_RESPONSE,1797.46,Mobile App
C006294,2025-04-18,CALL,NO_RESPONSE,1402.31,Mobile App
C006458,2025-01-14,TXN,SUCCESS,392.67,Mobile App
C007510,2025-04-27,APP_LOGIN,NO_RESPONSE,168.38,Call Center
C009908,2025-01-28,CALL,SUCCESS,351.32,Mobile App
C004778,2025-01-09,TXN,NO_RESPONSE,1262.83,Mobile App
C003855,2025-02-28,APP_LOGIN,SUCCESS,432.75,Mobile App
C002492,2025-02-07,APP_LOGIN,NO_RESPONSE,728.9,Mobile App
C003125,2025-04-03,APP_LOGIN,FAIL,3314.36,Call Center
C005692,2025-06-02,TXN,FAIL,767.84,Mobile App
C003052,2025-03-13,TXN,NO_RESPONSE,402.97,Mobile App
C000005,2025-02-17,CALL,NO_RESPONSE,1.21,Mobile App
C005223,2025-05-27,CALL,SUCCESS,605.2,Mobile App
C005316,2025-05-10,SMS,NO_RESPONSE,1231.52,Mobile App
C004870,2025-01-06,EMAIL,SUCCESS,431.05,Call Center
C000877,2025-06-07,APP_LOGIN,NO_RESPONSE,588.23,Mobile App
C009184,2025-03-02,EMAIL,SUCCESS,1492.07,Mobile App
C007028,2025-01-02,TXN,SUCCESS,2105.65,Mobile App
C004143,2025-06-28,CALL,SUCCESS,1802.39,Mobile App
C006967,2025-03-24,CALL,NO_RESPONSE,560.43,Mobile App
C007080,2025-01-13,EMAIL,SUCCESS,355.72,Mobile App
C007988,2025-02-18,CALL,SUCCESS,829.01,Website
C006800,2025-01-08,APP_LOGIN,SUCCESS,517.17,Mobile App
C004466,2025-01-09,SMS,SUCCESS,135.53,Call Center
C000636,2025-05-31,APP_LOGIN,SUCCESS,706.04,Mobile App
C001694,2025-03-14,CALL,NO_RESPONSE,441.95,Mobile App
C009875,2025-05-24,APP_LOGIN,SUCCESS,264.13,Website
C004753,2025-05-24,EMAIL,SUCCESS,227.03,Call Center
C008312,2025-01-12,APP_LOGIN,SUCCESS,1391.71,Mobile App
C000831,2025-05-01,EMAIL,FAIL,786.27,Mobile App
C005178,2025-05-19,TXN,SUCCESS,1733.28,Mobile App
C009562,2025-03-23,TXN,FAIL,5589.43,Website
C008933,2025-05-21,EMAIL,FAIL,2793.78,Mobile App
C008309,2025-06-12,TXN,NO_RESPONSE,268.95,Mobile App
C005950,2025-04-17,EMAIL,FAIL,1828.98,Call Center
C002839,2025-06-20,TXN,SUCCESS,837.7,Mobile App
C001151,2025-04-11,CALL,SUCCESS,1094.94,Mobile App
C007561,2025-06-07,EMAIL,SUCCESS,1488.36,Mobile App
C001932,2025-03-01,TXN,SUCCESS,126.06,Mobile App
C009205,2025-03-08,CALL,NO_RESPONSE,596.08,Branch
C001665,2025-01-29,APP_LOGIN,NO_RESPONSE,368.44,Mobile App
C001082,2025-06-02,APP_LOGIN,SUCCESS,2042.03,Mobile App
C000513,2025-03-07,TXN,NO_RESPONSE,445.12,Website
C007806,2025-01-05,TXN,SUCCESS,3692.52,Mobile App
C005238,2025-05-04,SMS,SUCCESS,226.95,Website
